ticker,raw_score,rs_percentile,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
USCB,0.009469774494802505,63,0,0,0.1,0.1041
USEA,0.11780341988835075,85,0,0,0.0,0.0098
USFD,0.10005537727386896,82,0,0,0.0,0.1112
USGO,-0.2694218933017005,8,1,5,0.95,0.5525
USIO,0.665153470143457,98,0,0,0.0,0.1129
USLM,-0.1493408522368876,18,1,13,0.85,0.3553
USNA,0.12164880211276141,85,0,0,0.1,0.114
USPH,0.10247545668497754,83,0,0,0.15,0.2462
UTF,-0.008692984206701393,58,1,2,0.35,0.0776
UTG,-0.0408079394665538,42,1,10,0.65,0.1203
UTHR,-0.06858028136187885,33,1,2,0.75,0.2237
UTI,0.25373698970816505,93,0,0,0.2,0.0628
UTL,-0.017980254324188816,54,0,0,0.3,0.1585
UTMD,-0.018503175807164096,54,1,4,0.45,0.1202
UTSI,-0.10093916672944205,27,1,15,0.75,0.2623
UTZ,0.05730532875741745,76,0,0,0.35,0.3492
UUU,-0.37315060950204315,4,1,23,1.0,0.4416
UUUU,-0.2326300486152612,10,1,26,1.0,0.5511
UVE,0.08343152325966122,80,0,0,0.1,0.0356
UVSP,0.05084036567751479,74,1,1,0.05,0.055
UVV,-0.07286584220369116,32,1,9,0.75,0.202
UWMC,-0.30128171973814616,6,1,56,1.0,0.6659
UXIN,-0.304392278187711,6,1,6,0.95,0.5745
UYSC,-0.037161605898172745,45,1,9,0.7,0.1402
UYSCU,-0.048832064710057056,38,1,20,1.0,0.1809
UZX,-0.5843423737971147,1,1,25,1.0,
V,0.04878893025866299,74,0,0,0.15,0.0648
VABK,0.006808978397937683,62,1,6,0.4,0.0777
VAC,0.1807222765171128,89,0,0,0.05,0.0635
VACI,-0.039378495500087006,43,1,9,0.8,0.1428
VAL,-0.1975723918736255,14,1,34,1.0,0.3644
VALE,-0.13185691513182665,21,1,54,1.0,0.2496
