code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00623,72.0,79,0,0,0.3
HK.00626,82.0,81,0,0,0.3
HK.00627,24.0,4,1,8,0.95
HK.00628,87.0,79,0,0,0.2
HK.00629,69.0,74,0,0,0.6
HK.00630,3.0,12,1,1,0.8
HK.00631,74.0,89,0,0,0.35
HK.00632,11.0,10,1,38,1.0
HK.00635,67.0,69,0,0,0.8
HK.00636,41.0,44,1,4,0.8
HK.00637,53.0,43,1,5,0.75
HK.00639,58.0,89,0,0,0.25
HK.00640,58.0,33,1,36,1.0
HK.00641,80.0,32,1,1,0.9
HK.00643,19.0,44,1,2,0.4
HK.00645,81.0,67,0,0,0.65
HK.00646,32.0,19,1,10,0.6
HK.00648,0.0,0,1,39,1.0
HK.00650,21.0,2,1,67,1.0
HK.00653,16.0,97,0,0,0.4
HK.00655,88.0,77,0,0,0.45
HK.00656,84.0,92,0,0,0.0
HK.00657,55.0,45,1,4,0.75
HK.00658,9.0,10,1,6,0.85
HK.00659,71.0,53,0,0,0.85
HK.00660,90.0,44,0,0,0.55
HK.00661,93.0,98,0,0,0.25
HK.00662,72.0,54,1,5,0.6
HK.00664,,17,1,54,1.0
HK.00666,21.0,18,1,8,0.9
HK.00667,22.0,27,1,5,0.75
HK.00669,87.0,79,1,1,0.3
HK.00670,21.0,13,1,14,0.9
HK.00672,17.0,26,1,5,0.65
HK.00673,3.0,1,1,8,0.95
HK.00674,6.0,4,1,33,1.0
HK.00675,59.0,39,1,22,1.0
HK.00676,68.0,54,1,8,0.95
HK.00677,73.0,64,0,0,0.85
HK.00679,97.0,10,1,3,0.75
HK.00681,48.0,27,1,39,1.0
HK.00682,41.0,29,1,5,0.9
HK.00683,50.0,48,1,1,0.8
HK.00684,22.0,22,1,8,0.7
HK.00685,41.0,43,1,6,0.75
HK.00686,15.0,8,1,21,1.0
HK.00687,83.0,77,0,0,0.3
HK.00688,68.0,76,0,0,0.5
HK.00689,39.0,11,1,2,0.9
HK.00690,9.0,3,1,37,1.0
HK.00691,8.0,79,0,0,0.55
HK.00693,60.0,31,1,8,0.95
HK.00694,25.0,59,0,0,0.7
HK.00695,88.0,59,1,6,0.7
HK.00696,46.0,68,0,0,0.85
HK.00697,24.0,14,1,6,0.5
HK.00698,9.0,74,0,0,0.2
HK.00700,44.0,62,1,12,0.65
HK.00701,9.0,11,1,30,1.0
HK.00702,66.0,50,1,8,0.95
HK.00703,56.0,74,0,0,0.75
HK.00704,54.0,50,1,8,0.95
HK.00707,66.0,50,1,8,0.95
HK.00708,66.0,50,1,8,0.95
HK.00709,57.0,39,1,2,0.9
HK.00710,32.0,58,0,0,0.95
HK.00711,72.0,62,1,8,0.7
HK.00712,12.0,52,1,2,0.55
HK.00713,29.0,23,1,8,0.95
HK.00716,29.0,53,1,6,0.85
HK.00717,22.0,56,1,2,0.65
HK.00718,30.0,26,1,16,0.9
HK.00719,42.0,43,1,14,0.95
HK.00720,86.0,44,0,0,0.6
HK.00722,62.0,44,0,0,0.65
HK.00723,56.0,71,0,0,0.45
HK.00725,83.0,29,1,9,0.95
HK.00726,32.0,42,1,5,0.35
HK.00727,7.0,3,1,11,0.85
HK.00728,50.0,64,0,0,0.55
HK.00730,68.0,65,0,0,0.65
HK.00731,87.0,21,1,4,0.7
HK.00732,36.0,26,1,39,1.0
HK.00733,18.0,26,1,5,0.65
HK.00736,16.0,88,0,0,0.85
HK.00737,74.0,71,0,0,0.4
HK.00738,88.0,92,0,0,0.15
HK.00743,69.0,53,1,8,0.95
HK.00745,98.0,62,1,6,0.7
HK.00746,52.0,65,1,9,0.55
HK.00747,26.0,12,1,5,0.75
HK.00750,32.0,21,1,13,0.95
HK.00751,52.0,35,1,8,0.9
HK.00752,57.0,55,1,6,0.8
HK.00753,20.0,18,1,14,0.95
HK.00754,43.0,50,1,8,0.95
HK.00755,18.0,20,1,1,0.75
HK.00756,85.0,92,0,0,0.5
HK.00757,23.0,48,1,6,0.55
HK.00759,56.0,41,1,31,1.0
HK.00760,21.0,20,1,36,1.0
HK.00762,19.0,11,1,21,1.0
HK.00763,50.0,47,1,7,0.75
HK.00764,2.0,7,1,129,1.0
HK.00765,6.0,23,1,1,0.85
HK.00767,74.0,88,0,0,0.7
HK.00769,66.0,50,1,8,0.95
HK.00771,58.0,68,0,0,0.75
HK.00772,15.0,67,1,1,0.45
HK.00775,31.0,77,0,0,0.75
HK.00776,0.0,1,1,79,1.0
HK.00777,38.0,58,0,0,0.9
HK.00780,17.0,19,1,12,0.65
HK.00784,97.0,59,1,2,0.85
HK.00788,44.0,36,1,18,0.9
HK.00789,3.0,0,1,23,1.0
HK.00794,93.0,93,0,0,0.35
HK.00797,89.0,4,0,0,0.9
HK.00798,25.0,58,1,1,0.55
HK.00799,62.0,46,1,8,0.8
HK.00800,,65,1,2,0.55
HK.00804,98.0,99,0,0,0.0
HK.00805,99.0,98,0,0,0.0
HK.00806,45.0,39,1,12,0.75
HK.00807,46.0,33,1,8,0.9
HK.00809,8.0,56,0,0,0.55
HK.00811,50.0,42,1,17,0.85
HK.00813,2.0,29,1,1,0.9
HK.00814,57.0,56,0,0,0.45
HK.00815,11.0,30,1,3,0.65
HK.00816,50.0,71,1,1,0.5
HK.00817,69.0,88,0,0,0.4
HK.00818,22.0,15,1,1,0.85
HK.00819,22.0,31,1,19,0.95
HK.00821,68.0,85,0,0,0.7
HK.00822,56.0,21,1,37,1.0
HK.00825,39.0,28,1,35,1.0
HK.00826,49.0,27,1,36,1.0
HK.00827,91.0,78,0,0,0.45
HK.00828,28.0,55,1,6,0.7
HK.00829,21.0,39,1,1,0.75
HK.00830,31.0,87,0,0,0.55
HK.00831,84.0,83,0,0,0.25
HK.00832,8.0,24,0,0,0.7
HK.00833,75.0,8,1,15,0.95
HK.00834,29.0,25,1,9,0.8
HK.00836,64.0,48,0,0,0.95
HK.00837,48.0,40,1,12,0.9
HK.00838,41.0,23,1,40,1.0
HK.00839,27.0,58,1,5,0.9
HK.00840,40.0,40,0,0,0.7
HK.00841,78.0,31,1,1,0.15
HK.00842,46.0,39,1,1,0.9
HK.00844,49.0,53,0,0,0.85
HK.00845,66.0,50,1,8,0.95
HK.00846,26.0,26,1,1,0.95
HK.00848,44.0,70,0,0,0.35
HK.00851,11.0,13,1,8,0.95
HK.00852,66.0,50,1,8,0.95
HK.00853,12.0,30,1,8,0.75
HK.00854,54.0,74,0,0,0.25
HK.00855,40.0,38,1,6,0.75
HK.00856,71.0,70,1,6,0.4
HK.00857,78.0,64,0,0,0.6
HK.00858,54.0,80,0,0,0.35
HK.00859,69.0,76,0,0,0.1
HK.00860,31.0,60,1,1,0.3
HK.00861,17.0,27,1,7,0.9
HK.00862,96.0,91,0,0,0.9
HK.00863,49.0,71,1,3,0.4
HK.00864,47.0,7,1,8,0.95
HK.00865,86.0,55,0,0,0.7
HK.00866,59.0,96,0,0,0.0
HK.00867,52.0,66,1,13,0.95
HK.00868,60.0,57,1,5,0.55
HK.00869,53.0,45,0,0,0.9
HK.00871,14.0,13,1,35,1.0
HK.00873,11.0,12,1,14,0.85
HK.00874,38.0,25,1,25,1.0
HK.00875,8.0,6,1,3,0.8
HK.00876,16.0,10,1,5,0.6
HK.00878,56.0,33,1,41,1.0
HK.00880,10.0,14,1,19,0.95
HK.00881,4.0,23,1,4,0.8
HK.00882,44.0,44,1,8,0.95
HK.00883,77.0,78,0,0,0.35
HK.00884,2.0,18,1,10,0.8
HK.00887,73.0,83,0,0,0.3
HK.00888,6.0,13,1,8,0.85
HK.00889,82.0,40,1,5,0.8
HK.00893,57.0,90,0,0,0.1
HK.00894,94.0,5,1,37,1.0
HK.00895,27.0,31,1,7,0.9
HK.00896,77.0,70,1,1,0.7
HK.00897,44.0,44,0,0,0.9
HK.00898,58.0,21,1,15,0.75
HK.00899,31.0,3,1,27,1.0
HK.00900,85.0,75,0,0,0.45
HK.00901,,79,0,0,0.45
HK.00902,59.0,27,1,20,1.0
HK.00907,59.0,50,1,8,0.95
HK.00909,6.0,22,1,29,1.0
HK.00910,30.0,5,1,14,0.75
HK.00911,92.0,9,1,29,1.0
HK.00912,69.0,59,1,4,0.8
HK.00914,39.0,44,1,19,0.95
HK.00915,10.0,8,1,21,1.0
HK.00916,36.0,40,0,0,0.8
HK.00917,5.0,87,0,0,0.8
HK.00918,97.0,97,1,3,0.3
HK.00919,41.0,18,1,40,1.0
HK.00921,58.0,28,1,8,0.85
