code,rs_percentile_12m,rs_percentile_3m
HK.01064,70.0,16
HK.01065,66.0,60
HK.01066,7.0,15
HK.01068,22.0,35
HK.01069,7.0,16
HK.01070,84.0,87
HK.01071,64.0,75
HK.01072,91.0,40
HK.01073,30.0,34
HK.01075,26.0,11
HK.01079,91.0,53
HK.01080,43.0,26
HK.01082,46.0,55
HK.01083,37.0,43
HK.01084,53.0,60
HK.01085,61.0,75
HK.01086,26.0,41
HK.01087,64.0,20
HK.01088,76.0,42
HK.01090,49.0,53
HK.01091,83.0,50
HK.01093,27.0,10
HK.01094,61.0,32
HK.01097,50.0,62
HK.01098,32.0,43
HK.01099,32.0,20
HK.01100,76.0,80
HK.01101,55.0,63
HK.01102,87.0,91
HK.01104,84.0,49
HK.01105,29.0,47
HK.01107,6.0,10
HK.01108,18.0,13
HK.01109,77.0,85
HK.01110,18.0,11
HK.01111,52.0,42
HK.01112,37.0,31
HK.01113,79.0,71
HK.01114,27.0,28
HK.01115,47.0,41
HK.01116,20.0,40
HK.01117,39.0,21
HK.01118,71.0,69
HK.01119,5.0,20
HK.01120,22.0,11
HK.01121,10.0,5
HK.01122,68.0,21
HK.01123,44.0,51
HK.01124,37.0,12
HK.01125,39.0,52
HK.01126,26.0,30
HK.01127,60.0,70
HK.01128,48.0,66
HK.01129,5.0,1
HK.01130,61.0,65
HK.01132,73.0,60
HK.01133,94.0,52
HK.01134,89.0,89
HK.01137,16.0,26
HK.01138,91.0,31
HK.01141,96.0,92
HK.01142,3.0,39
HK.01143,36.0,20
HK.01145,41.0,70
HK.01146,80.0,93
HK.01147,73.0,89
HK.01148,42.0,33
HK.01150,18.0,6
HK.01152,90.0,79
HK.01153,33.0,34
HK.01156,91.0,88
HK.01157,57.0,21
HK.01159,78.0,37
HK.01161,80.0,87
HK.01162,44.0,86
HK.01163,65.0,44
HK.01164,77.0,11
HK.01165,68.0,63
HK.01166,2.0,0
HK.01167,26.0,6
HK.01168,6.0,6
HK.01170,46.0,66
HK.01171,84.0,41
HK.01172,29.0,33
HK.01173,43.0,27
HK.01176,3.0,21
HK.01177,27.0,19
HK.01179,59.0,16
HK.01180,33.0,91
HK.01181,6.0,3
HK.01182,83.0,52
HK.01183,59.0,51
HK.01184,86.0,91
HK.01186,37.0,31
HK.01188,55.0,63
HK.01193,34.0,45
HK.01195,15.0,17
HK.01196,54.0,36
HK.01198,8.0,41
HK.01199,44.0,41
HK.01200,83.0,19
HK.01201,95.0,17
HK.01202,86.0,79
HK.01203,21.0,23
HK.01204,43.0,22
HK.01205,84.0,80
HK.01206,5.0,8
HK.01208,91.0,81
HK.01209,57.0,37
HK.01211,31.0,31
HK.01213,84.0,67
HK.01215,68.0,28
HK.01216,45.0,48
HK.01218,60.0,12
HK.01220,50.0,63
HK.01221,66.0,49
HK.01222,37.0,67
HK.01223,76.0,56
HK.01224,56.0,63
HK.01225,84.0,95
HK.01228,96.0,5
HK.01229,34.0,56
HK.01231,70.0,66
HK.01232,18.0,61
HK.01233,1.0,2
HK.01234,68.0,69
HK.01235,79.0,83
HK.01237,74.0,77
HK.01238,23.0,41
HK.01239,79.0,53
HK.01240,48.0,67
HK.01241,19.0,4
HK.01243,34.0,52
HK.01244,29.0,50
HK.01245,60.0,85
HK.01246,55.0,63
HK.01247,5.0,3
HK.01250,21.0,23
HK.01251,89.0,40
HK.01252,30.0,56
HK.01253,19.0,17
HK.01255,98.0,90
HK.01257,57.0,68
HK.01258,87.0,85
HK.01259,77.0,81
HK.01260,80.0,88
HK.01262,82.0,4
HK.01265,38.0,28
HK.01268,1.0,1
HK.01269,23.0,22
HK.01270,58.0,53
HK.01271,4.0,23
HK.01272,44.0,39
HK.01273,82.0,71
HK.01274,6.0,90
HK.01276,,32
HK.01277,83.0,33
HK.01278,40.0,52
HK.01280,3.0,6
HK.01281,41.0,54
HK.01282,12.0,26
HK.01283,78.0,87
HK.01284,88.0,92
HK.01285,78.0,86
HK.01286,94.0,89
HK.01288,72.0,76
HK.01289,45.0,32
HK.01290,45.0,73
HK.01292,20.0,22
HK.01293,55.0,63
HK.01298,31.0,13
HK.01299,71.0,76
HK.01300,98.0,99
HK.01301,19.0,74
HK.01302,60.0,67
HK.01303,28.0,24
HK.01304,,93
HK.01305,32.0,68
HK.01308,83.0,82
HK.01310,76.0,27
HK.01312,57.0,66
HK.01313,16.0,18
HK.01314,28.0,41
HK.01315,19.0,30
HK.01316,20.0,43
HK.01317,4.0,3
HK.01318,9.0,8
HK.01319,78.0,80
HK.01321,83.0,93
HK.01323,49.0,74
HK.01326,33.0,63
HK.01327,87.0,65
HK.01328,91.0,95
HK.01330,79.0,81
HK.01332,59.0,17
HK.01333,9.0,13
HK.01334,95.0,96
HK.01335,48.0,80
HK.01336,62.0,48
HK.01338,13.0,43
HK.01339,28.0,38
HK.01340,82.0,87
HK.01341,0.0,9
HK.01343,79.0,41
HK.01345,67.0,66
HK.01346,65.0,53
HK.01347,96.0,95
HK.01348,97.0,96
HK.01349,21.0,21
HK.01351,36.0,37
HK.01354,3.0,6
HK.01355,75.0,82
HK.01357,12.0,68
HK.01358,43.0,66
HK.01359,32.0,43
HK.01361,39.0,11
HK.01362,93.0,90
HK.01364,39.0,15
HK.01368,20.0,33
HK.01370,35.0,86
HK.01371,15.0,24
HK.01372,18.0,21
HK.01373,33.0,38
HK.01375,28.0,32
HK.01376,21.0,23
HK.01378,82.0,37
HK.01379,38.0,22
HK.01380,95.0,30
HK.01382,35.0,46
HK.01384,,93
HK.01385,53.0,19
HK.01388,22.0,22
HK.01389,92.0,97
HK.01393,42.0,39
HK.01395,45.0,36
HK.01396,97.0,97
HK.01397,69.0,45
HK.01398,75.0,70
HK.01399,91.0,96
HK.01400,66.0,83
HK.01401,1.0,0
HK.01402,78.0,61
HK.01405,4.0,4
HK.01406,55.0,63
HK.01407,70.0,65
HK.01408,91.0,53
HK.01410,95.0,92
HK.01412,21.0,28
HK.01413,4.0,2
HK.01415,64.0,78
HK.01416,92.0,88
HK.01417,98.0,99
HK.01418,15.0,31
HK.01419,37.0,45
HK.01420,73.0,14
HK.01421,83.0,79
HK.01425,58.0,51
HK.01427,74.0,94
HK.01428,75.0,13
HK.01429,97.0,46
HK.01431,52.0,32
HK.01432,71.0,69
HK.01433,33.0,42
HK.01440,94.0,92
HK.01442,22.0,9
HK.01443,24.0,75
HK.01446,40.0,70
HK.01447,49.0,31
HK.01448,41.0,61
HK.01449,78.0,88
HK.01450,35.0,80
HK.01451,80.0,58
HK.01452,89.0,94
HK.01455,71.0,79
HK.01456,30.0,36
HK.01458,17.0,66
HK.01459,18.0,65
HK.01460,54.0,87
HK.01461,29.0,29
HK.01463,73.0,80
HK.01466,33.0,33
HK.01468,2.0,20
HK.01470,88.0,43
HK.01471,6.0,2
HK.01472,91.0,92
HK.01473,97.0,98
HK.01475,61.0,54
HK.01476,13.0,17
HK.01477,21.0,15
HK.01478,54.0,86
HK.01480,54.0,86
HK.01481,92.0,3
HK.01483,74.0,78
HK.01486,92.0,52
HK.01488,70.0,83
HK.01489,85.0,92
HK.01490,84.0,81
HK.01496,68.0,61
HK.01497,53.0,86
HK.01498,20.0,54
HK.01499,7.0,10
HK.01500,97.0,94
HK.01501,75.0,67
HK.01502,53.0,56
HK.01508,31.0,13
HK.01513,38.0,50
HK.01515,19.0,29
HK.01516,7.0,30
HK.01518,16.0,42
HK.01519,48.0,28
HK.01520,7.0,6
HK.01521,11.0,6
HK.01522,38.0,44
HK.01523,80.0,84
HK.01525,22.0,24
HK.01526,11.0,8
HK.01527,73.0,71
HK.01528,41.0,56
HK.01529,22.0,4
HK.01530,24.0,15
HK.01532,87.0,96
HK.01536,85.0,69
HK.01538,93.0,93
HK.01539,50.0,47
HK.01540,49.0,57
HK.01541,3.0,2
HK.01542,22.0,33
HK.01543,13.0,29
HK.01545,90.0,83
HK.01546,94.0,23
HK.01547,66.0,86
HK.01548,74.0,89
HK.01549,39.0,73
HK.01551,54.0,80
HK.01552,74.0,75
HK.01553,59.0,53
HK.01555,48.0,12
HK.01556,30.0,15
HK.01557,92.0,83
HK.01559,22.0,75
HK.01560,52.0,17
HK.01561,19.0,68
HK.01563,24.0,46
HK.01565,24.0,15
HK.01566,55.0,63
HK.01568,40.0,38
HK.01569,12.0,7
HK.01570,98.0,97
HK.01571,77.0,78
HK.01572,35.0,71
HK.01575,17.0,8
HK.01576,49.0,58
HK.01577,59.0,66
HK.01578,59.0,60
HK.01579,60.0,46
HK.01580,89.0,6
HK.01581,95.0,96
HK.01582,63.0,75
HK.01583,33.0,37
HK.01585,47.0,54
HK.01586,9.0,29
HK.01587,62.0,74
HK.01588,15.0,9
HK.01591,72.0,89
HK.01592,85.0,97
HK.01593,46.0,59
HK.01596,23.0,15
HK.01597,94.0,98
HK.01598,55.0,63
HK.01599,38.0,29
HK.01600,45.0,61
HK.01601,53.0,70
HK.01606,65.0,79
HK.01608,0.0,1
HK.01610,17.0,14
HK.01611,30.0,22
